p-p = -0.013824446126818657, last = buy buy
p-p = -0.0240593533962965, last = buy buy
p-p = -0.011662133038043976, last = buy buy
p-p = -0.015871908515691757, last = buy buy
p-p = -0.021873734891414642, last = buy buy
p-p = -0.010512636974453926, last = buy buy
p-p = -0.005494672805070877, last = buy buy
p-p = -0.006074126809835434, last = buy buy
p-p = -0.00689300149679184, last = buy buy
p-p = -0.00724782794713974, last = buy buy
p-p = -0.003560081124305725, last = buy buy
p-p = -0.0038481950759887695, last = buy buy
p-p = -0.007704898715019226, last = buy buy
p-p = -0.006214309483766556, last = buy buy
p-p = -0.01180763728916645, last = buy buy
p-p = -0.010014377534389496, last = buy buy
p-p = -0.007952963933348656, last = buy buy
p-p = -0.01853266730904579, last = buy buy
p-p = -0.008942849934101105, last = buy buy
p-p = -0.02150583267211914, last = buy buy
p-p = -0.01249675452709198, last = buy buy
p-p = -0.025735436007380486, last = buy buy
p-p = -0.0020842626690864563, last = buy buy
p-p = -0.017218928784132004, last = buy buy
p-p = -0.008206004276871681, last = buy buy
p-p = -0.02489308826625347, last = buy buy
p-p = -0.009606609120965004, last = buy buy
p-p = -0.012004636228084564, last = buy buy
p-p = -0.012762483209371567, last = buy buy
p-p = -0.010884726420044899, last = buy buy
p-p = -0.010245159268379211, last = buy buy
p-p = -0.02024487778544426, last = buy buy
p-p = -0.006991196423768997, last = buy buy
p-p = -0.00829160213470459, last = buy buy
p-p = -0.02070450782775879, last = buy buy
p-p = -0.006542868912220001, last = buy buy
p-p = -0.013107351958751678, last = buy buy
p-p = -0.021871017292141914, last = buy buy
p-p = -0.004843350499868393, last = buy buy
p-p = -0.015808993950486183, last = buy buy
p-p = -0.014410939067602158, last = buy buy
p-p = -0.011562161147594452, last = buy buy
p-p = -0.0012872777879238129, last = buy buy
p-p = -0.0017240643501281738, last = buy buy
p-p = -0.006744559854269028, last = buy buy
p-p = -0.0010820068418979645, last = buy buy
p-p = -0.0011111907660961151, last = buy buy
p-p = -0.00882689282298088, last = buy buy
p-p = -0.005336865782737732, last = buy buy
p-p = -0.00713152252137661, last = buy buy
p-p = -0.0050293803215026855, last = buy buy
p-p = -0.009847048670053482, last = buy buy
p-p = -0.005347482860088348, last = buy buy
p-p = -0.007443737238645554, last = buy buy
p-p = -0.008861485868692398, last = buy buy
p-p = -0.006399834528565407, last = buy buy
p-p = -0.0038027726113796234, last = buy buy
p-p = -0.02472434937953949, last = buy buy
p-p = -0.011309206485748291, last = buy buy
p-p = -0.00497731938958168, last = buy buy
p-p = -0.01511312834918499, last = buy buy
p-p = -0.023198701441287994, last = buy buy
p-p = -0.001084752380847931, last = buy buy
p-p = -0.0013410933315753937, last = buy buy
p-p = -0.007006548345088959, last = buy buy
p-p = -0.009429767727851868, last = buy buy
p-p = -0.1258508265018463, last = buy buy
p-p = -0.0014124996960163116, last = buy buy
p-p = -0.001140158623456955, last = buy buy
p-p = -0.02138698659837246, last = buy buy
p-p = -0.01113905943930149, last = buy buy
p-p = -0.00358397513628006, last = buy buy
p-p = -0.007249020040035248, last = buy buy
p-p = -0.009131783619523048, last = buy buy
p-p = -0.0020552054047584534, last = buy buy
p-p = -0.02515985071659088, last = buy buy
p-p = -0.02824764885008335, last = buy buy
p-p = -0.008493341505527496, last = buy buy
p-p = -0.0031692832708358765, last = buy buy
p-p = -0.0010203011333942413, last = buy buy
p-p = -0.012467700988054276, last = buy buy
p-p = -0.013204263523221016, last = buy buy
p-p = -0.009433450177311897, last = buy buy
p-p = -0.006581008434295654, last = buy buy
p-p = -0.015120623633265495, last = buy buy
p-p = -0.012411916628479958, last = buy buy
p-p = -0.006058070808649063, last = buy buy
p-p = -0.02024557627737522, last = buy buy
p-p = -0.008966624736785889, last = buy buy
p-p = -0.0018891002982854843, last = buy buy
p-p = -0.012063838541507721, last = buy buy
p-p = -0.01160171627998352, last = buy buy
p-p = -0.009394347667694092, last = buy buy
p-p = -0.029560040682554245, last = buy buy
p-p = -0.005529914051294327, last = buy buy
p-p = -0.002190627157688141, last = buy buy
p-p = -0.008575299754738808, last = buy buy
p-p = -0.020913664251565933, last = buy buy
p-p = -0.006837297230958939, last = buy buy
p-p = -0.02293013408780098, last = buy buy
p-p = -0.013364013284444809, last = buy buy
p-p = -0.002553217113018036, last = buy buy
p-p = -0.01025708019733429, last = buy buy
p-p = -0.006906647235155106, last = buy buy
p-p = -0.007411016151309013, last = buy buy
p-p = -0.007613116875290871, last = buy buy
p-p = -0.006089191883802414, last = buy buy
p-p = -0.012694690376520157, last = buy buy
p-p = -0.007709227502346039, last = buy buy
p-p = -0.012952571734786034, last = buy buy
p-p = -0.006637509912252426, last = buy buy
p-p = -0.0015322864055633545, last = buy buy
p-p = -0.003262612968683243, last = buy buy
p-p = -0.007125053554773331, last = buy buy
p-p = -0.013536583632230759, last = buy buy
p-p = -0.026468351483345032, last = buy buy
p-p = -0.008795151486992836, last = buy buy
p-p = -0.0165338683873415, last = buy buy
p-p = -0.01597682759165764, last = buy buy
p-p = -0.009334024041891098, last = buy buy
p-p = -0.005350206047296524, last = buy buy
p-p = -0.005934160202741623, last = buy buy
p-p = -0.005726059898734093, last = buy buy
p-p = -0.005870144814252853, last = buy buy
p-p = -0.02078549936413765, last = buy buy
p-p = -0.010828409343957901, last = buy buy
p-p = -0.022235345095396042, last = buy buy
p-p = -0.002379298210144043, last = buy buy
p-p = -0.0033713914453983307, last = buy buy
p-p = -0.0060224756598472595, last = buy buy
p-p = -0.008136086165904999, last = buy buy
p-p = -0.002254687249660492, last = buy buy
p-p = -0.001709476113319397, last = buy buy
p-p = -0.003515087068080902, last = buy buy
p-p = -0.012094847857952118, last = buy buy
p-p = -0.013660693541169167, last = buy buy
p-p = -0.007381055504083633, last = buy buy
p-p = -0.012589231133460999, last = buy buy
p-p = -0.011279642581939697, last = buy buy
p-p = -0.0070708803832530975, last = buy buy
p-p = -0.009157910943031311, last = buy buy
p-p = -0.007595805451273918, last = buy buy
p-p = -0.010989032685756683, last = buy buy
p-p = -0.005193587392568588, last = buy buy
p-p = -0.01480601355433464, last = buy buy
p-p = -0.021878190338611603, last = buy buy
p-p = -0.0035250596702098846, last = buy buy
p-p = -0.0025955475866794586, last = buy buy
p-p = -0.0013504885137081146, last = buy buy
p-p = -0.021091623231768608, last = buy buy
p-p = -0.004988342523574829, last = buy buy
p-p = -0.005467083305120468, last = buy buy
p-p = -0.002722620964050293, last = buy buy
p-p = -0.009317131713032722, last = buy buy
p-p = -0.009289674460887909, last = buy buy
p-p = -0.009409809485077858, last = buy buy
p-p = -0.020824356004595757, last = buy buy
p-p = -0.015982411801815033, last = buy buy
p-p = -0.017383098602294922, last = buy buy
p-p = -0.0021012313663959503, last = buy buy
p-p = -0.02290615253150463, last = buy buy
p-p = -0.008599227294325829, last = buy buy
p-p = -0.027899987995624542, last = buy buy
p-p = -0.008570536971092224, last = buy buy
p-p = -0.009156115353107452, last = buy buy
p-p = -0.02516859397292137, last = buy buy
p-p = -0.019698772579431534, last = buy buy
p-p = -0.0018487237393856049, last = buy buy
p-p = -0.00841662846505642, last = buy buy
p-p = -0.011027170345187187, last = buy buy
p-p = -0.008312346413731575, last = buy buy
p-p = -0.0021379943937063217, last = buy buy
p-p = -0.01388123631477356, last = buy buy
p-p = -0.006202492862939835, last = buy buy
p-p = -0.014659706503152847, last = buy buy
p-p = -0.006903167814016342, last = buy buy
p-p = -0.017578721046447754, last = buy buy
p-p = -0.005015671253204346, last = buy buy
p-p = -0.011780515313148499, last = buy buy
p-p = -0.009846962988376617, last = buy buy
p-p = -0.020732160657644272, last = buy buy
p-p = -0.00634906068444252, last = buy buy
p-p = -0.0010887756943702698, last = buy buy
p-p = -0.025857288390398026, last = buy buy
p-p = -0.011242009699344635, last = buy buy
p-p = -0.008214179426431656, last = buy buy
p-p = -0.030049964785575867, last = buy buy
p-p = -0.006380956619977951, last = buy buy
p-p = -0.004951022565364838, last = buy buy
p-p = -0.005770467221736908, last = buy buy
p-p = -0.00778680294752121, last = buy buy
p-p = -0.022059964016079903, last = buy buy
p-p = -0.004709180444478989, last = buy buy
p-p = -0.008751356974244118, last = buy buy
p-p = -0.021007172763347626, last = buy buy
p-p = -0.02522687427699566, last = buy buy
p-p = -0.02217179723083973, last = buy buy
p-p = -0.00660792738199234, last = buy buy
p-p = -0.006701044738292694, last = buy buy
p-p = -0.0037931986153125763, last = buy buy
