
p-p = 0.004020560532808304, last = sell sell
p-p = 0.0032276473939418793, last = sell sell
p-p = 0.001992754638195038, last = sell sell
p-p = 0.004831906408071518, last = sell sell
p-p = 0.005244102329015732, last = sell sell
p-p = 0.0017198361456394196, last = sell sell
p-p = 0.005373992025852203, last = sell sell
p-p = 0.003101307898759842, last = sell sell
p-p = 0.0011617280542850494, last = sell sell
p-p = 0.003427896648645401, last = sell sell
p-p = 0.001193024218082428, last = sell sell
p-p = 0.005172591656446457, last = sell sell
p-p = 0.0022398196160793304, last = sell sell
p-p = 0.003853108733892441, last = sell sell
p-p = 0.0023288559168577194, last = sell sell
p-p = 0.00303008034825325, last = sell sell
p-p = 0.0028858110308647156, last = sell sell
p-p = 0.005177367478609085, last = sell sell
p-p = 0.004723917692899704, last = sell sell
p-p = 0.0020642392337322235, last = sell sell
p-p = 0.0037305131554603577, last = sell sell
p-p = 0.004211444407701492, last = sell sell
p-p = 0.0024445876479148865, last = sell sell
p-p = 0.0024565905332565308, last = sell sell
p-p = 0.0028673075139522552, last = sell sell
p-p = 0.002363257110118866, last = sell sell
p-p = 0.002987310290336609, last = sell sell
p-p = 0.0015833526849746704, last = sell sell
p-p = 0.0018561631441116333, last = sell sell
p-p = 0.0024765431880950928, last = sell sell
p-p = 0.005153823643922806, last = sell sell
p-p = 0.0019887015223503113, last = sell sell
p-p = 0.0022101514041423798, last = sell sell
p-p = 0.0042862668633461, last = sell sell
p-p = 0.004324030131101608, last = sell sell
p-p = 0.0026323609054088593, last = sell sell
p-p = 0.00481337308883667, last = sell sell
p-p = 0.0026375558227300644, last = sell sell
p-p = 0.006278775632381439, last = sell sell
p-p = 0.002378687262535095, last = sell sell
p-p = 0.0026910193264484406, last = sell sell
p-p = 0.005018584430217743, last = sell sell
p-p = 0.0031679682433605194, last = sell sell
p-p = 0.0022417232394218445, last = sell sell
p-p = 0.0026713423430919647, last = sell sell
p-p = 0.002480730414390564, last = sell sell
p-p = 0.003116391599178314, last = sell sell
p-p = 0.0017736032605171204, last = sell sell
p-p = 0.0013023912906646729, last = sell sell
p-p = 0.0034775398671627045, last = sell sell
p-p = 0.0016527753323316574, last = sell sell
p-p = 0.005328074097633362, last = sell sell
p-p = 0.00382937490940094, last = sell sell
p-p = 0.051899075508117676, last = sell sell
p-p = 0.0019078738987445831, last = sell sell
p-p = 0.004866316914558411, last = sell sell
